,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2846930980682373,0.120748997048388,0.001708984375,0.001577423640185678,"(10, 10)",0.01,2,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 2}",0.7024972855591748,0.7119565217391305,0.7282608695652174,0.7673913043478261,0.725,0.7270211962422698,0.022197901998745977,13
1,0.2679771423339844,0.07053968606205716,0.0008421897888183594,9.17712227128166e-05,"(10, 10)",0.01,5,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 5}",0.7828447339847991,0.7880434782608695,0.783695652173913,0.8141304347826087,0.6554347826086957,0.7648298163621772,0.055887665013192984,12
2,0.29148063659667967,0.08009121215492065,0.0008429527282714844,7.69820475464107e-05,"(10, 10)",0.01,10,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 10}",0.8089033659066233,0.8336956521739131,0.7934782608695652,0.8608695652173913,0.6695652173913044,0.7933024123117594,0.06595642206927478,11
3,0.2904162883758545,0.0270850634491151,0.0008681774139404297,3.639008007963036e-05,"(10, 10)",0.01,15,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 15}",0.9033659066232356,0.9010869565217391,0.9130434782608695,0.9239130434782609,0.8326086956521739,0.8948036161072558,0.03212803339549102,9
4,0.19472765922546387,0.04773391879090101,0.0009840011596679687,0.00018303606585640353,"(10, 10)",0.01,20,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 20}",0.9185667752442996,0.9108695652173913,0.9184782608695652,0.9173913043478261,0.841304347826087,0.9013220507010338,0.030143711372391885,8
5,0.20835318565368652,0.057103809548898134,0.0008625984191894531,5.1896008621954685e-05,"(10, 10)",0.01,25,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 25}",0.9011943539630836,0.9054347826086957,0.9021739130434783,0.9163043478260869,0.7728260869565218,0.8795866968795731,0.05364925057576403,10
6,0.2278141975402832,0.04732278810834962,0.0009127140045166015,6.283537822688832e-05,"(10, 10)",0.01,30,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 30}",0.9153094462540716,0.925,0.925,0.9260869565217391,0.8239130434782609,0.9030618892508144,0.039767468033540115,7
7,0.20925779342651368,0.04273452082060859,0.000889730453491211,5.226109149617066e-05,"(10, 10)",0.01,35,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 35}",0.9120521172638436,0.9271739130434783,0.9217391304347826,0.9369565217391305,0.8467391304347827,0.9089321625832035,0.03212429596592106,5
8,0.1473397731781006,0.020183693750175227,0.0008907794952392578,3.83545473227053e-05,"(10, 10)",0.01,40,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 40}",0.9196525515743756,0.9326086956521739,0.933695652173913,0.9347826086956522,0.8478260869565217,0.9137131190105272,0.03339654382089199,2
9,0.1993264675140381,0.042933808754225,0.0013640403747558593,0.00025150171888849447,"(10, 10)",0.01,45,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 45}",0.9196525515743756,0.933695652173913,0.9347826086956522,0.9326086956521739,0.8434782608695652,0.912843553793136,0.035113243321467244,4
10,0.29451189041137693,0.11132485784076976,0.0013111591339111327,0.00030004917462226504,"(10, 10)",0.01,50,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 50}",0.9305103148751357,0.9358695652173913,0.9380434782608695,0.9304347826086956,0.8434782608695652,0.9156672803663316,0.03621733252803461,1
11,0.20307574272155762,0.041824070286328154,0.000946664810180664,1.840282572393915e-05,"(10, 10)",0.01,55,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 55}",0.9294245385450597,0.9304347826086956,0.9423913043478261,0.9402173913043478,0.8260869565217391,0.9137109946655336,0.04411285942056609,3
12,0.33926119804382326,0.08425921298922091,0.0012059688568115234,0.00023560896980345697,"(10, 10)",0.01,57,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'clf__n_components': 57}",0.9185667752442996,0.9304347826086956,0.9434782608695652,0.9347826086956522,0.8010869565217391,0.9056698767879905,0.05290414506918166,6
